,Date,Content
0,2022-04-26 01:52:24+00:00,Covid-19 executed order 66 on humans. #StarWars #DarkHumour #jedi #Sith
1,2022-04-26 01:52:24+00:00,My body has fought me every step of the way in Nebraska. I've been to the clinic like 10 plus times. Covid twice two bodily stress reactions. Echo. A meeting with the heart doctor. I just wanna be happy and healthy working my job.🥲
2,2022-04-26 01:52:24+00:00,"@bkives Imagine trying to blame Covid for hospital wait times.  I guess we are just pretending that this hasn’t been an issue for years, if not decades. https://t.co/ZviATMNXL9"
3,2022-04-26 01:52:24+00:00,"@FredoZimbabwe That was during Covid, those times weren’t real."
4,2022-04-26 01:52:23+00:00,"@artisinal_lube @DeathPanel_ I'm vaxxed and boosted, and I have COVID-19. Just a mild intermittent cough. Other people I know are laid up to hell and back. COVID-19 is nothing to mess with, it's unpredictable! And I can't go to work for a week, otherwise my office will shut down.

This is gonna be chaos."
5,2022-04-26 01:52:23+00:00,@CARdinals_book @RickLangel During covid 2020.
6,2022-04-26 01:52:22+00:00,the day trump went to the hospital with covid https://t.co/JKn8y8TK6M
7,2022-04-26 01:52:21+00:00,COVID Affects Your Memory https://t.co/IyMCenupAm
8,2022-04-26 01:52:21+00:00,"10. Creo que la vez aue mi abuela estuvo hospitalizada por covid, Dios fue lo peor que días..."
9,2022-04-26 01:52:21+00:00,"""The 28 studies summarized in this review provide observational findings that vitamin D levels are related to the incidence, severity, and mortality rate of an COVID-19 infection.""
https://t.co/PkhskfKdQW"
10,2022-04-26 01:52:21+00:00,"Thailand found 13,816 new Covid cases in the last 24 hours. 120 fatalities. 

#thailand #โควิด19 https://t.co/SNOKUy8qJZ"
11,2022-04-26 01:52:21+00:00,"Of course a recession is coming. Covid bail outs went to mainly corporations, not struggling citizens, stimulus checks and the child tax credit were revenue neutral, corporations price gauging, continuous diplomatic missteps and counterproductive sanctions and ect… https://t.co/rtOqICZkYX"
12,2022-04-26 01:52:20+00:00,"Tem que ser investigado o porquê os laboratórios da Invermectina e da cloroquina receberam propaganda gratuita do presidente e isenções fiscais, mesmo sem funcionar para a Covid-19. Estamos falando de milhões de reais que esses laboratórios estão faturando."
